alias,canonical_brand,score_hint,risk_level,category,notes
huawei technologies,huawei,85,medium,tech,Full legal name
honor,huawei,85,medium,tech,Spun off 2020; largely separate
samsung electronics,samsung,85,medium,tech,Main operating subsidiary
samsung sds,samsung,85,medium,tech,IT services subsidiary
playstation,sony,85,medium,tech,Sony gaming brand; distinctive
sony pictures,sony,85,medium,tech,Entertainment subsidiary
sony music,sony,85,medium,tech,Music entertainment subsidiary
panasonic holdings,panasonic,85,low,tech,Holding company name
hitachi ltd,hitachi,85,medium,tech,Full corporate name
toshiba corporation,toshiba,85,medium,tech,Full corporate name
nippon electric company,nec,85,medium,tech,Full name of NEC
fujitsu limited,fujitsu,85,low,tech,Full corporate name
square,block,85,medium,tech,Former company name (Block was Square Inc)
cash app,block,85,medium,tech,Block consumer payments app; distinctive
spiral,block,85,medium,tech,Block bitcoin-focused subsidiary
pfe,pfizer,85,low,pharma,Stock ticker for Pfizer
msd,merck,85,medium,pharma,Merck Sharp & Dohme; Merck brand name outside US
merck & co,merck,85,medium,pharma,Full legal name of US Merck
merck sharp & dohme,merck,85,medium,pharma,Operating subsidiary name outside US
emd,merck kgaa,85,medium,pharma,EMD is Merck KGaA US trading name
merck group,merck kgaa,85,medium,pharma,German Merck holding company
emd serono,merck kgaa,85,medium,pharma,Merck KGaA biopharma business in North America
sigma aldrich,merck kgaa,85,medium,pharma,Acquired 2015; lab chemical/reagent brand
emd millipore,merck kgaa,85,medium,pharma,Merck KGaA life science brand in North America
merck millipore,merck kgaa,85,medium,pharma,Life science brand of Merck KGaA
sigma-aldrich,merck kgaa,85,medium,pharma,Hyphenated variant of Sigma Aldrich
j&j,johnson & johnson,85,low,pharma,Widely used abbreviation
jnj,johnson & johnson,85,low,pharma,Stock ticker; distinctive
janssen,johnson & johnson,85,low,pharma,Pharmaceutical subsidiary; distinctive
kenvue,johnson & johnson,85,low,pharma,Consumer health spin-off 2023
neutrogena,johnson & johnson,85,low,pharma,Consumer brand under Kenvue
tylenol,johnson & johnson,85,low,pharma,OTC pain brand; highly distinctive
nvs,novartis,85,low,pharma,Stock ticker for Novartis
sandoz,novartis,85,low,pharma,Generics/biosimilars subsidiary
roche holding,roche,85,low,pharma,Full corporate name
genentech,roche,85,low,pharma,US biotech subsidiary; fully owned since 2009
chugai,roche,85,low,pharma,Japanese pharma majority-owned by Roche
sny,sanofi,85,low,pharma,Stock ticker for Sanofi
genzyme,sanofi,85,low,pharma,Acquired 2011; rare disease biotech
aventis,sanofi,85,low,pharma,Former company name pre-2004 merger
glaxosmithkline,gsk,85,low,pharma,Former full legal name
haleon,gsk,85,low,pharma,Consumer health spin-off 2022
azn,astrazeneca,85,low,pharma,Stock ticker for AstraZeneca
az,astrazeneca,70,low,pharma,2-char abbreviation; use with corroboration
bayer ag,bayer,85,medium,pharma,Full corporate name
bayer cropscience,bayer,85,medium,pharma,Agri-science division
bi,boehringer ingelheim,70,low,pharma,2-char abbreviation; use with corroboration
boehringer,boehringer ingelheim,85,low,pharma,Common shorthand
lly,eli lilly,85,low,pharma,Stock ticker for Eli Lilly
lilly,eli lilly,85,low,pharma,Common shorthand; distinctive in pharma context
abbv,abbvie,85,low,pharma,Stock ticker for AbbVie
humira,abbvie,85,low,pharma,Top-selling biologic drug; highly distinctive
imbruvica,abbvie,85,low,pharma,Oncology drug brand
amgn,amgen,85,low,pharma,Stock ticker for Amgen
bms,bristol myers squibb,85,low,pharma,Widely used abbreviation; distinctive in pharma
bmy,bristol myers squibb,85,low,pharma,Stock ticker for BMS
gild,gilead,85,low,pharma,Stock ticker for Gilead
gilead sciences,gilead,85,low,pharma,Full legal name
biib,biogen,85,low,pharma,Stock ticker for Biogen
mrna,moderna,85,low,pharma,Stock ticker for Moderna
regn,regeneron,85,low,pharma,Stock ticker for Regeneron
vrtx,vertex,85,low,pharma,Stock ticker for Vertex
vertex pharmaceuticals,vertex,85,low,pharma,Full legal name
tak,takeda,85,low,pharma,Stock ticker for Takeda
takeda pharmaceutical,takeda,85,low,pharma,Full corporate name
nvo,novo nordisk,85,low,pharma,Stock ticker for Novo Nordisk
novonordisk,novo nordisk,85,low,pharma,Domain-style shortening
bax,baxter,85,low,pharma,Stock ticker for Baxter
baxter international,baxter,85,low,pharma,Full corporate name
bd,becton dickinson,85,low,pharma,Ticker and universally known abbreviation
bdx,becton dickinson,85,low,pharma,Stock ticker for BD
carefusion,becton dickinson,85,low,pharma,Acquired 2015
mdt,medtronic,85,low,pharma,Stock ticker for Medtronic
siemens health,siemens healthineers,85,low,pharma,Common shorthand
varian,siemens healthineers,85,low,pharma,Acquired 2021; radiation therapy brand
gehc,ge healthcare,85,medium,pharma,Stock ticker for GE HealthCare post-spinoff
ge health,ge healthcare,85,medium,pharma,Common shorthand
royal philips,philips healthcare,85,medium,pharma,Parent company full name
philips health,philips healthcare,85,medium,pharma,Common shorthand
tmo,thermo fisher,85,low,pharma,Stock ticker for Thermo Fisher
thermofisher,thermo fisher,85,low,pharma,Domain/shorthand variant
fisher scientific,thermo fisher,85,low,pharma,Acquired 2006; lab supply brand
applied biosystems,thermo fisher,85,low,pharma,Life Technologies brand; now ThermoFisher
invitrogen,thermo fisher,85,low,pharma,Life Technologies brand; now ThermoFisher
life technologies,thermo fisher,85,low,pharma,Acquired 2014; merged brand
qgen,qiagen,85,low,pharma,Stock ticker for Qiagen
ilmn,illumina,85,low,pharma,Stock ticker for Illumina
agilent technologies,agilent,85,low,pharma,Full corporate name
wat,waters,85,low,pharma,Stock ticker for Waters Corp
waters corporation,waters,85,low,pharma,Full corporate name
biorad,bio-rad,85,low,pharma,Space/hyphen variant
bio rad laboratories,bio-rad,85,low,pharma,Full corporate name
beckman,beckman coulter,85,low,pharma,Common shorthand
dhr,danaher,85,low,pharma,Stock ticker for Danaher
ge cytiva,cytiva,85,low,pharma,Former GE Life Sciences branding
ge life sciences,cytiva,85,low,pharma,Former division name
sar,sartorius,85,low,pharma,Stock ticker shorthand
sartorius stedim,sartorius,85,low,pharma,Bioprocess subsidiary full name
millipore,merck millipore,85,medium,pharma,Historical brand; now under Merck KGaA
mck,mckesson,85,low,pharma,Stock ticker for McKesson
cah,cardinal health,85,low,pharma,Stock ticker for Cardinal Health
abc,amerisourcebergen,85,low,pharma,Stock ticker; also used for Cencora
cencora,amerisourcebergen,85,low,pharma,Renamed to Cencora 2023
cvs,cvs health,85,medium,retail,Consumer pharmacy brand
cvs pharmacy,cvs health,85,medium,retail,Retail pharmacy chain
aetna,cvs health,85,medium,pharma,Acquired 2018; health insurer
wba,walgreens,85,medium,retail,Stock ticker for Walgreens Boots Alliance
walgreens boots alliance,walgreens,85,medium,retail,Full holding company name
boots,walgreens,85,medium,retail,UK pharmacy chain; sub-brand
unh,unitedhealth,85,medium,pharma,Stock ticker for UnitedHealth Group
optum,unitedhealth,85,medium,pharma,Health services sub-brand
ci,cigna,85,medium,pharma,Stock ticker for Cigna
evernorth,cigna,85,medium,pharma,Services subsidiary
antm,elevance health,85,medium,pharma,Former stock ticker (Anthem)
anthem,elevance health,85,medium,pharma,Former company name; rebranded 2022
dgx,quest diagnostics,85,low,pharma,Stock ticker for Quest Diagnostics
lh,labcorp,85,low,pharma,Stock ticker for Labcorp
laboratory corporation,labcorp,85,low,pharma,Full legal name
basf se,basf,85,low,chemical,Full corporate entity name
dow inc,dow,85,medium,chemical,Current holding company name
dow chemical,dow,85,medium,chemical,Former/operating name
dow dupont,dow,70,medium,chemical,Brief merged entity (2017-2019); ambiguous
dd,dupont,85,low,chemical,Stock ticker for DuPont
dupont de nemours,dupont,85,low,chemical,Full current legal name
corteva,dupont,85,low,chemical,Agri spin-off 2019; distinctive brand
mmm,3m,85,medium,industrial,Stock ticker for 3M
minnesota mining,3m,85,medium,industrial,Full historical name
scotch,3m,85,medium,industrial,Tape product brand; well known sub-brand
post-it,3m,85,medium,industrial,Sticky notes brand; highly distinctive
hon,honeywell,85,medium,industrial,Stock ticker for Honeywell
uop,honeywell,85,medium,industrial,Honeywell process technology subsidiary
resideo,honeywell,85,medium,industrial,Spun off 2018; home/building controls
siemens ag,siemens,85,medium,industrial,Full corporate entity name
siemens energy,siemens,85,medium,industrial,Spun off 2020; energy equipment subsidiary
siemens mobility,siemens,85,medium,industrial,Rail/transport division
se,schneider electric,70,medium,industrial,2-char ambiguous; also used for other companies
aveva,schneider electric,85,medium,industrial,Acquired 2023; industrial software
abb ltd,abb,85,medium,industrial,Full corporate entity name
asea brown boveri,abb,85,medium,industrial,Full historical name for ABB
etn,eaton,85,low,industrial,Stock ticker for Eaton
eaton corporation,eaton,85,low,industrial,Full corporate name
emr,emerson,85,medium,industrial,Stock ticker for Emerson
emerson electric,emerson,85,medium,industrial,Full corporate name
rok,rockwell automation,85,low,industrial,Stock ticker for Rockwell Automation
allen bradley,rockwell automation,85,low,industrial,Legacy brand; now part of Rockwell
gww,grainger,85,low,industrial,Stock ticker for W.W. Grainger
w.w. grainger,grainger,85,low,industrial,Full corporate name
apd,air products,85,low,industrial,Stock ticker for Air Products
air products and chemicals,air products,85,low,industrial,Full corporate name
linde plc,linde,85,low,industrial,Full corporate entity name
boc,linde,85,low,industrial,UK subsidiary; BOC gases brand
solb,solvay,85,low,chemical,Stock ticker for Solvay
solvay sa,solvay,85,low,chemical,Full corporate name
evonik industries,evonik,85,low,chemical,Full corporate name
bayer covestro,covestro,85,low,chemical,Reference to its origin from Bayer
akzo,akzo nobel,85,low,chemical,Common shorthand
dulux,akzo nobel,85,low,chemical,Paint sub-brand
ppg industries,ppg,85,low,chemical,Full corporate name
shw,sherwin williams,85,low,chemical,Stock ticker
valspar,sherwin williams,85,low,chemical,Acquired 2017; paint brand
emn,eastman,85,low,chemical,Stock ticker for Eastman Chemical
eastman chemical,eastman,85,low,chemical,Full corporate name
ce,celanese,85,low,chemical,Stock ticker for Celanese
celanese corporation,celanese,85,low,chemical,Full corporate name
hun,huntsman,85,low,chemical,Stock ticker for Huntsman
huntsman corporation,huntsman,85,low,chemical,Full corporate name
clari,clariant,85,low,chemical,Stock ticker shorthand
arkema sa,arkema,85,low,chemical,Full corporate name
ineos group,ineos,85,low,chemical,Full group name
sabic sa,sabic,85,low,chemical,Full corporate name
saudi basic industries,sabic,85,low,chemical,Full expanded name
mcc,mitsubishi chemical,85,medium,chemical,Common shorthand; Mitsubishi Chemical Corporation
lgc,lg chem,85,medium,chemical,Stock ticker shorthand
posco holdings,posco,85,low,industrial,Current holding company name
mt,arcelormittal,85,low,industrial,Stock ticker for ArcelorMittal
arcelor,arcelormittal,85,low,industrial,Pre-merger name
tkh,thyssenkrupp,85,low,industrial,Stock ticker
thyssen krupp,thyssenkrupp,85,low,industrial,Space-separated variant
cat,caterpillar,85,low,industrial,Brand and stock ticker for Caterpillar
cat financial,caterpillar,85,low,industrial,Financial services subsidiary
de,john deere,85,low,industrial,Stock ticker for Deere & Company
deere & company,john deere,85,low,industrial,Full corporate name
kmt,komatsu,85,low,industrial,Stock ticker for Komatsu
komatsu ltd,komatsu,85,low,industrial,Full corporate name
cmi,cummins,85,low,industrial,Stock ticker for Cummins
cummins inc,cummins,85,low,industrial,Full corporate name
rolls-royce holdings,rolls royce,85,medium,industrial,Full holding company name
ba,boeing,85,low,industrial,Stock ticker for Boeing
boeing company,boeing,85,low,industrial,Full corporate name
airbus se,airbus,85,low,industrial,Full corporate entity name
lmt,lockheed martin,85,low,industrial,Stock ticker for Lockheed Martin
lm,lockheed martin,70,low,industrial,2-char abbreviation; check context
noc,northrop grumman,85,low,industrial,Stock ticker for Northrop Grumman
northrop,northrop grumman,85,low,industrial,Common shorthand
rtx,raytheon,85,low,industrial,Post-merger ticker for Raytheon Technologies
raytheon technologies,raytheon,85,low,industrial,Former corporate name (now RTX Corp)
collins aerospace,raytheon,85,low,industrial,Sub-brand/division of RTX
pratt & whitney,raytheon,85,low,industrial,Aerospace engine sub-brand of RTX
thales group,thales,85,low,industrial,Full corporate name
saf,safran,85,low,industrial,Stock ticker for Safran
safran sa,safran,85,low,industrial,Full corporate name
jpm,jpmorgan chase,85,medium,financial,Stock ticker for JPMorgan Chase
chase,jpmorgan chase,85,medium,financial,Retail banking brand
j.p. morgan,jpmorgan chase,85,medium,financial,Investment banking brand
jpmc,jpmorgan chase,85,medium,financial,Commonly used 4-char abbreviation
bac,bank of america,85,medium,financial,Stock ticker for Bank of America
bofa,bank of america,85,medium,financial,Common shorthand
merrill lynch,bank of america,85,medium,financial,Acquired 2009; investment banking brand
merrill,bank of america,85,medium,financial,Short form of Merrill Lynch
citi,citigroup,85,medium,financial,Common brand shorthand
citibank,citigroup,85,medium,financial,Retail banking brand
citicorp,citigroup,85,medium,financial,Historical corporate name
wfc,wells fargo,85,medium,financial,Stock ticker for Wells Fargo
wachovia,wells fargo,85,medium,financial,Acquired 2008; former regional bank brand
gs,goldman sachs,85,medium,financial,Stock ticker for Goldman Sachs
goldman,goldman sachs,85,medium,financial,Common shorthand
marcus,goldman sachs,85,medium,financial,Consumer banking brand
blk,blackrock,85,medium,financial,Stock ticker for BlackRock
ishares,blackrock,85,medium,financial,ETF brand; subsidiary of BlackRock
aladdin,blackrock,85,medium,financial,Portfolio management platform
visa inc,visa,85,medium,financial,Full legal name
mastercard worldwide,mastercard,85,medium,financial,Former legal name
amex,american express,85,medium,financial,Universally recognized abbreviation
axp,american express,85,medium,financial,Stock ticker for AmEx
cof,capital one,85,medium,financial,Stock ticker for Capital One
capitalone,capital one,85,medium,financial,Domain-style variant
hongkong shanghai banking,hsbc,85,medium,financial,Historical full name for HSBC
hsbc holdings,hsbc,85,medium,financial,Full current corporate name
barc,barclays,85,medium,financial,Stock ticker for Barclays
barclays bank,barclays,85,medium,financial,Retail banking entity
barclays capital,barclays,85,medium,financial,Former investment banking brand
deutsche bank ag,deutsche bank,85,medium,financial,Full corporate name
ubs group,ubs,85,medium,financial,Full holding company name
ubs ag,ubs,85,medium,financial,Operating entity name
san,santander,85,medium,financial,Stock ticker for Banco Santander
banco santander,santander,85,medium,financial,Full corporate name
bnp,bnp paribas,85,medium,financial,Common shorthand
bnpp,bnp paribas,85,medium,financial,4-char variant
ing groep,ing,85,medium,financial,Full Dutch holding company name
ing bank,ing,85,medium,financial,Banking subsidiary
nwg,natwest,85,medium,financial,Stock ticker for NatWest Group
national westminster,natwest,85,medium,financial,Historical full name
rbs,natwest,85,medium,financial,Former name: Royal Bank of Scotland
royal bank of scotland,natwest,85,medium,financial,Former brand name
lloy,lloyds,85,medium,financial,Stock ticker for Lloyds Banking Group
lloyds banking,lloyds,85,medium,financial,Current formal name
lloyds tsb,lloyds,85,medium,financial,Former brand after Trustee Savings Bank merger
royal bank of canada,rbc,85,medium,financial,Full corporate name
rbc capital,rbc,85,medium,financial,Capital markets division
td canada trust,td bank,85,medium,financial,Canadian retail brand
toronto dominion,td bank,85,medium,financial,Full historical name
bns,scotiabank,85,medium,financial,Stock ticker for Scotiabank
bank of nova scotia,scotiabank,85,medium,financial,Full legal name
bank of montreal,bmo,85,medium,financial,Full legal name
bmo financial,bmo,85,medium,financial,Financial group name
canadian imperial bank of commerce,cibc,85,medium,financial,Full legal name for CIBC
industrial commercial bank of china,icbc,85,medium,financial,Full name for ICBC
mitsubishi ufj,mufg,85,medium,financial,Key component name
bank of tokyo,mufg,85,medium,financial,Historical component name
mufg bank,mufg,85,medium,financial,Banking subsidiary
nomura holdings,nomura,85,low,financial,Full corporate name
allianz se,allianz,85,medium,financial,Full corporate entity name
pimco,allianz,85,medium,financial,Majority-owned asset management subsidiary
axa sa,axa,85,medium,financial,Full corporate entity name
axa xl,axa,85,medium,financial,Commercial insurance sub-brand
zurich insurance,zurich,85,medium,financial,Insurance brand
zurich financial,zurich,85,medium,financial,Historical financial services name
american international group,aig,85,medium,financial,Full corporate name
met,metlife,85,medium,financial,Stock ticker for MetLife
metropolitan life,metlife,85,medium,financial,Historical full name
pru,prudential,85,medium,financial,Stock ticker for Prudential Financial US
prudential financial,prudential,85,medium,financial,US life insurer
prudential plc,prudential,85,medium,financial,UK insurer; separate company (ambiguous with US Prudential)
aon plc,aon,85,low,financial,Full corporate entity name
marsh mclennan,marsh,85,medium,financial,Current parent company name
mmc,marsh,85,medium,financial,Stock ticker for Marsh McLennan
oliver wyman,marsh,85,medium,financial,Consulting sub-brand
guy carpenter,marsh,85,medium,financial,Reinsurance brokerage sub-brand
swiss reinsurance,swiss re,85,low,financial,Full corporate name
munichre,munich re,85,low,financial,Domain-style shortening
muenchener rueck,munich re,85,low,financial,German name
stt,state street,85,medium,financial,Stock ticker for State Street
ssga,state street,85,medium,financial,Investment management arm: State Street Global Advisors
bank of new york mellon,bny mellon,85,medium,financial,Full corporate name
xom,exxonmobil,85,medium,energy,Stock ticker for ExxonMobil
exxon,exxonmobil,85,medium,energy,US domestic brand
mobil,exxonmobil,85,medium,energy,Former Mobil brand; now ExxonMobil
esso,exxonmobil,85,medium,energy,International brand name for Exxon stations
cvx,chevron,85,medium,energy,Stock ticker for Chevron
chevron corporation,chevron,85,medium,energy,Full corporate name
texaco,chevron,85,medium,energy,Acquired 2001; fuel brand still used
caltex,chevron,85,medium,energy,Asian/Pacific brand name for Chevron
shell plc,shell,70,high,energy,Current legal name
royal dutch shell,shell,70,high,energy,Former corporate name pre-2022
british petroleum,bp,70,high,energy,Former full name; high risk
bp plc,bp,70,high,energy,Current legal entity name
arco,bp,70,high,energy,West coast US fuel brand owned by BP
total,totalenergies,70,high,energy,Former brand name; common English word
total sa,totalenergies,70,high,energy,Former legal entity name
total energies,totalenergies,70,high,energy,Space-separated variant
eni spa,eni,85,medium,energy,Full corporate entity name
agip,eni,85,medium,energy,Fuel brand owned by Eni
eqnr,equinor,85,low,energy,Stock ticker for Equinor
statoil,equinor,85,low,energy,Former company name; rebranded 2018
aramco,saudi aramco,85,medium,energy,Common shorthand; distinctive
saudi arabian oil,saudi aramco,85,medium,energy,Full formal name
pbr,petrobras,85,medium,energy,Stock ticker for Petrobras
petroleo brasileiro,petrobras,85,medium,energy,Full corporate name
snp,sinopec,85,medium,energy,Stock ticker for Sinopec
china petroleum,sinopec,85,medium,energy,Informal English translation
sinopec corp,sinopec,85,medium,energy,Common short reference
cop,conocophillips,85,medium,energy,Stock ticker for ConocoPhillips
conoco,conocophillips,85,medium,energy,Former name; retained as brand
mpc,marathon,85,medium,energy,Stock ticker for Marathon Petroleum
marathon petroleum,marathon,85,medium,energy,Downstream company full name
mro,marathon,70,medium,energy,Stock ticker for Marathon Oil; distinct from MPC
marathon oil,marathon,85,medium,energy,Upstream company; separate from Marathon Petroleum
vlo,valero,85,low,energy,Stock ticker for Valero Energy
valero energy,valero,85,low,energy,Full corporate name
psx,phillips 66,85,low,energy,Stock ticker for Phillips 66
enb,enbridge,85,low,energy,Stock ticker for Enbridge
enbridge inc,enbridge,85,low,energy,Full corporate name
kmi,kinder morgan,85,low,energy,Stock ticker for Kinder Morgan
duk,duke energy,85,medium,energy,Stock ticker for Duke Energy
nee,nextera energy,85,low,energy,Stock ticker for NextEra Energy
florida power & light,nextera energy,85,low,energy,Major utility subsidiary
fpl,nextera energy,85,low,energy,Florida Power & Light abbreviation
national grid plc,national grid,70,high,energy,Full corporate name
iber,iberdrola,85,low,energy,Stock ticker shorthand
enel spa,enel,85,low,energy,Full corporate name
engie sa,engie,85,low,energy,Full corporate entity name
gdf suez,engie,85,low,energy,Former company name; rebranded 2015
electricite de france,edf,85,medium,energy,Full French corporate name
edf energy,edf,85,medium,energy,UK operations sub-brand
eon,e.on,85,medium,energy,Common spelling variant without period
e.on se,e.on,85,medium,energy,Full corporate entity name
rwe ag,rwe,85,medium,energy,Full corporate entity name
veolia environment,veolia,85,low,energy,Historical full name
veolia water,veolia,85,low,energy,Water services division brand
wm,waste management,85,medium,energy,Stock ticker for Waste Management
wm inc,waste management,85,medium,energy,Common shorthand
ko,coca cola,85,medium,food,Stock ticker for Coca-Cola
coke,coca cola,85,medium,food,Globally recognized brand shorthand
coca-cola company,coca cola,85,medium,food,Full legal name
pep,pepsico,85,medium,food,Stock ticker for PepsiCo
pepsi,pepsico,85,medium,food,Beverage brand shorthand
