canonical_brand,aliases,domains,score_hint,risk_level,category,notes
regeneron,regn,regeneron.com,85,low,pharma,Distinctive biotech brand
vertex,vrtx|vertex pharmaceuticals,vrtx.com|vertexpharmaceuticals.com,85,low,pharma,Distinctive pharma; low ambiguity
takeda,tak|takeda pharmaceutical,takeda.com,85,low,pharma,Distinctive Japanese pharma
novo nordisk,nvo,novonordisk.com,85,low,pharma,Distinctive Danish pharma; insulin/diabetes leader
baxter,bax|baxter international,baxter.com,85,low,pharma,Distinctive med device/pharma brand
becton dickinson,bd|bdx|carefusion,bd.com|carefusion.com,85,low,pharma,BD is widely recognized; distinctive despite short form
medtronic,mdt,medtronic.com,85,low,pharma,Distinctive medical device brand
siemens healthineers,siemens health|varian,siemens-healthineers.com|varian.com,85,low,pharma,Subsidiary of Siemens; distinctive sub-brand
ge healthcare,gehc|ge health,gehealthcare.com,85,medium,pharma,Spun from GE 2023; GE prefix adds complexity
philips healthcare,philips health|royal philips,philips.com,85,medium,pharma,Part of Philips; healthcare division
thermo fisher,tmo|thermofisher|fisher scientific|applied biosystems|invitrogen|life technologies,thermofisher.com|fishersci.com,85,low,pharma,Distinctive lab/biotech brand; large instrument/reagent family
qiagen,qgen,qiagen.com,85,low,pharma,Distinctive molecular diagnostics brand
illumina,ilmn,illumina.com,85,low,pharma,Distinctive genomics brand
agilent,agilent technologies,agilent.com,85,low,pharma,Distinctive lab instrument brand; spun from HP
waters,wat|waters corporation,waters.com,85,low,pharma,Common English word but distinctive in lab context
bio-rad,biorad|bio rad laboratories,bio-rad.com,85,low,pharma,Distinctive life science brand
beckman coulter,beckman|danaher beckman,beckmancoulter.com,85,low,pharma,Subsidiary of Danaher; distinctive lab brand
danaher,dhr,danaher.com,85,low,pharma,Distinctive industrial/science conglomerate
cytiva,ge cytiva|ge life sciences,cytiva.com,85,low,pharma,Spun from GE Healthcare; distinctive biotech brand
sartorius,sar|sartorius stedim,sartorius.com|sartoriusstedimbiotech.com,85,low,pharma,Distinctive German bioprocess brand
merck millipore,millipore|emd millipore,merckmillipore.com|emdmillipore.com,85,medium,pharma,Sub-brand of Merck KGaA; keep mapped to merck kgaa
mckesson,mck,mckesson.com,85,low,pharma,Distinctive pharma distribution brand
cardinal health,cah,cardinalhealth.com,85,low,pharma,Distinctive pharma distribution brand
amerisourcebergen,abc|cencora,amerisourcebergen.com|cencora.com,85,low,pharma,Renamed to Cencora 2023; distinctive
cvs health,cvs|cvs pharmacy|aetna,cvshealth.com|cvs.com|aetna.com,85,medium,pharma,Large health conglomerate; Aetna absorbed
walgreens,wba|walgreens boots alliance|boots,walgreens.com|boots.com,85,medium,retail,US pharmacy; Boots is UK sub-brand
unitedhealth,unh|optum,unitedhealthgroup.com|optum.com,85,medium,pharma,Large health insurer+PBM; Optum sub-brand
cigna,ci|evernorth,cigna.com|evernorth.com,85,medium,pharma,Health insurer; Evernorth services subsidiary
elevance health,antm|anthem,elevancehealth.com|anthem.com,85,medium,pharma,Rebranded from Anthem 2022; health insurer
quest diagnostics,dgx,questdiagnostics.com,85,low,pharma,Distinctive lab diagnostics brand
labcorp,lh|laboratory corporation,labcorp.com,85,low,pharma,Distinctive lab diagnostics brand
basf,basf se,basf.com,85,low,chemical,Distinctive German chemical brand; globally recognized
dow,dow inc|dow chemical|dow dupont,dow.com,85,medium,chemical,Merged with DuPont then split; complex history
dupont,dd|dupont de nemours|corteva|spinco,dupont.com|corteva.com,85,low,chemical,Distinctive brand; Corteva agri spin-off 2019
3m,mmm|minnesota mining|scotch|post-it,3m.com,85,medium,industrial,Alphanumeric brand; many consumer sub-brands
honeywell,hon|uop|resideo,honeywell.com|uop.com|resideo.com,85,medium,industrial,Large industrial conglomerate; multiple spins
siemens,siemens ag|siemens energy|siemens mobility,siemens.com|siemens-energy.com,85,medium,industrial,German conglomerate; many divisions
schneider electric,se|aveva|aepc,schneider-electric.com|aveva.com,85,medium,industrial,French energy/automation; AVEVA acquired
abb,abb ltd|asea brown boveri,abb.com,85,medium,industrial,3-char acronym; Swiss industrial giant
eaton,etn|eaton corporation,eaton.com,85,low,industrial,Distinctive power management brand
emerson,emr|emerson electric,emerson.com,85,medium,industrial,Common English name; industrial automation brand
rockwell automation,rok|allen bradley,rockwellautomation.com|ab.com,85,low,industrial,Distinctive automation brand; Allen Bradley sub-brand
grainger,gww|w.w. grainger,grainger.com,85,low,industrial,Distinctive MRO distribution brand
air liquide,airliquide.com,airliquide.com,85,low,industrial,Distinctive French industrial gas brand
air products,apd|air products and chemicals,airproducts.com,85,low,industrial,Distinctive industrial gas brand
linde,linde plc|boc,linde.com|boc.com,85,low,industrial,Distinctive industrial gas brand; BOC is UK subsidiary
solvay,solb|solvay sa,solvay.com,85,low,chemical,Distinctive Belgian chemical brand
evonik,evonik industries,evonik.com,85,low,chemical,Distinctive German specialty chemical brand
covestro,covestro corporation,covestro.com,85,low,chemical,Distinctive; spun from Bayer 2015
akzo nobel,akzo|dulux,akzonobel.com|dulux.com,85,low,chemical,Distinctive Dutch paint/coating brand; Dulux sub-brand
ppg,ppg industries,ppg.com,85,low,chemical,Distinctive coatings brand
sherwin williams,shw|valspar,sherwin-williams.com|valspar.com,85,low,chemical,Distinctive paint brand; Valspar acquired
eastman,emn|eastman chemical,eastman.com,85,low,chemical,Distinctive chemical brand
celanese,ce|celanese corporation,celanese.com,85,low,chemical,Distinctive specialty chemical brand
huntsman,hun|huntsman corporation,huntsman.com,85,low,chemical,Distinctive chemical brand
clariant,clari,clariant.com,85,low,chemical,Distinctive Swiss chemical brand
arkema,arkema sa,arkema.com,85,low,chemical,Distinctive French chemical brand
ineos,ineos group,ineos.com,85,low,chemical,Distinctive private chemical company
sabic,sabic sa|saudi basic industries,sabic.com,85,low,chemical,Distinctive Saudi petrochemical brand
mitsubishi chemical,mcc|mgc,m-chemical.com,85,medium,chemical,Japanese conglomerate sub-brand; medium complexity
lg chem,lgc,lgchem.com,85,medium,chemical,Korean conglomerate sub-brand
posco,posco holdings|pohang,posco.com,85,low,industrial,Distinctive Korean steel brand
arcelormittal,mt|arcelor,arcelormittal.com,85,low,industrial,Distinctive global steel brand
thyssenkrupp,tkh|thyssen krupp,thyssenkrupp.com,85,low,industrial,Distinctive German industrial brand
caterpillar,cat|cat financial,caterpillar.com|cat.com,85,low,industrial,Distinctive heavy equipment brand; CAT widely recognized
john deere,de|deere & company,deere.com|johndeere.com,85,low,industrial,Distinctive agricultural equipment brand
komatsu,kmt|komatsu ltd,komatsu.com,85,low,industrial,Distinctive Japanese construction equipment brand
cummins,cmi|cummins inc,cummins.com,85,low,industrial,Distinctive engine/power brand
rolls royce,rr|rolls-royce holdings,rolls-royce.com,85,medium,industrial,Ambiguous: both aerospace and luxury auto (separate companies)
boeing,ba|boeing company,boeing.com,85,low,industrial,Distinctive aerospace brand
airbus,airbus se,airbus.com,85,low,industrial,Distinctive European aerospace brand
lockheed martin,lmt|lm,lockheedmartin.com,85,low,industrial,Distinctive defense brand
northrop grumman,noc|northrop,northropgrumman.com,85,low,industrial,Distinctive defense brand
raytheon,rtx|raytheon technologies|collins aerospace|pratt & whitney,rtx.com|raytheon.com|collinsaerospace.com,85,low,industrial,RTX is post-merger ticker; Raytheon Technologies rebranded
bae systems,bae,baesystems.com,85,low,industrial,Distinctive UK defense brand
thales,thales group,thalesgroup.com,85,low,industrial,Distinctive French defense/electronics brand
safran,saf|safran sa,safran.com,85,low,industrial,Distinctive French aerospace/defense brand
jpmorgan chase,jpm|chase|j.p. morgan|jpmc,jpmorganchase.com|chase.com|jpmorgan.com,85,medium,financial,Large bank; Chase is retail brand; JP Morgan is investment brand
bank of america,bac|bofa|merrill lynch|merrill,bankofamerica.com|ml.com|merrilledge.com,85,medium,financial,Large bank; Merrill Lynch absorbed 2009
citigroup,citi|citibank|citicorp,citigroup.com|citi.com|citibank.com,85,medium,financial,Large global bank; Citi shorthand widely used
wells fargo,wfc|wachovia,wellsfargo.com,85,medium,financial,Large US bank; Wachovia absorbed 2008
goldman sachs,gs|goldman|marcus,goldmansachs.com|marcus.com,85,medium,financial,Distinctive investment bank; Marcus is consumer brand
morgan stanley,morganstanley.com,morganstanley.com,85,medium,financial,Distinctive investment bank
blackrock,blk|ishares|aladdin,blackrock.com|ishares.com,85,medium,financial,Distinctive asset manager; iShares ETF brand
visa,visa inc,visa.com,85,medium,financial,Payment network brand
mastercard,mastercard worldwide,mastercard.com,85,medium,financial,Distinctive payment network brand
american express,amex|axp,americanexpress.com|amex.com,85,medium,financial,AMEX widely recognized; distinctive
capital one,cof|capitalone,capitalone.com,85,medium,financial,Distinctive US bank brand
hsbc,hongkong shanghai banking|hsbc holdings,hsbc.com,85,medium,financial,4-char acronym; major global bank
barclays,barc|barclays bank|barclays capital,barclays.com,85,medium,financial,Distinctive UK bank; Barcap investment arm
deutsche bank,deutsche bank ag,db.com|deutsche-bank.com,85,medium,financial,Large German bank
ubs,ubs group|ubs ag,ubs.com,85,medium,financial,3-char acronym; Swiss investment bank
santander,san|banco santander,santander.com,85,medium,financial,Large Spanish bank; global footprint
bnp paribas,bnp|bnpp,bnpparibas.com,85,medium,financial,Large French bank; 3-char acronym
ing,ing groep|ing bank,ing.com,85,medium,financial,3-char acronym; Dutch financial services
natwest,nwg|national westminster|rbs|royal bank of scotland,natwest.com|rbs.com,85,medium,financial,UK bank; rebranded from RBS
lloyds,lloy|lloyds banking|lloyds tsb,lloyds.com|lloydsbankinggroup.com,85,medium,financial,Distinctive UK bank; common name but branded
rbc,royal bank of canada|rbc capital,rbc.com|rbccm.com,85,medium,financial,3-char acronym; major Canadian bank
td bank,td canada trust,td.com|tdbank.com,85,medium,financial,Canadian bank
scotiabank,bns|bank of nova scotia,scotiabank.com,85,medium,financial,Distinctive Canadian bank
bmo,bank of montreal|bmo financial,bmo.com,85,medium,financial,3-char acronym; Canadian bank
cibc,canadian imperial bank of commerce,cibc.com,85,medium,financial,4-char acronym; Canadian bank
icbc,industrial commercial bank of china,icbc.com,85,medium,financial,Chinese state bank; 4-char acronym
mufg,mitsubishi ufj|bank of tokyo|mufg bank,mufg.jp,85,medium,financial,Japanese banking group; 4-char acronym
nomura,nomura holdings,nomura.com,85,low,financial,Distinctive Japanese investment bank
allianz,allianz se|pimco,allianz.com|pimco.com,85,medium,financial,German insurer; PIMCO is asset mgmt subsidiary
axa,axa sa|axa xl,axa.com,85,medium,financial,French insurer; AXA XL commercial lines
zurich,zurich insurance|zurich financial,zurich.com,85,medium,financial,Swiss insurer; common city name
aig,american international group,aig.com,85,medium,financial,4-char acronym; large US insurer
metlife,met|metropolitan life,metlife.com,85,medium,financial,Distinctive US insurer brand
prudential,pru|prudential financial|prudential plc,prudential.com,85,medium,financial,Common English word; ambiguous US vs UK entities
aon,aon plc,aon.com,85,low,financial,Distinctive insurance/consulting brand
marsh,marsh mclennan|mmc|oliver wyman|guy carpenter,marshmclennan.com|marsh.com|oliverwyman.com,85,medium,financial,Common English word; parent MMC is distinctive
swiss re,swiss reinsurance,swissre.com,85,low,financial,Distinctive Swiss reinsurer
munich re,munichre|muenchener rueck,munichre.com,85,low,financial,Distinctive German reinsurer
state street,stt|ssga,statestreet.com|ssga.com,85,medium,financial,Common English words; major custodian bank
bny mellon,bank of new york mellon,bnymellon.com,85,medium,financial,Merged brand; BK ticker ambiguous
exxonmobil,xom|exxon|mobil|esso,exxonmobil.com|exxon.com|esso.com,85,medium,energy,Merged 1999; Esso is international brand
chevron,cvx|chevron corporation|texaco|caltex,chevron.com|texaco.com,85,medium,energy,Texaco/Caltex are sub-brands
shell,rdsa|rdsb|shell plc|royal dutch shell,shell.com,70,high,energy,Common English word; franchise dealers worldwide
bp,british petroleum|bp plc|arco|ampm,bp.com|arco.com,70,high,energy,2-char abbreviation; BP branded stations vary globally
totalenergies,total|total sa|total energies,totalenergies.com,70,high,energy,Common word total; many unrelated businesses
eni,eni spa|agip,eni.com|agip.com,85,medium,energy,Italian oil company; 3-char acronym
equinor,eqnr|statoil,equinor.com,85,low,energy,Distinctive Norwegian energy brand; rebranded from Statoil
saudi aramco,aramco|saudi arabian oil,aramco.com|saudiaramco.com,85,medium,energy,State oil giant; distinctive but state-owned adds complexity
petrobras,pbr|petroleo brasileiro,petrobras.com.br,85,medium,energy,Brazilian state oil; distinctive
sinopec,snp|china petroleum|sinopec corp,sinopec.com,85,medium,energy,Chinese state energy
conocophillips,cop|phillips 66|conoco,conocophillips.com|phillips66.com|conoco.com,85,medium,energy,ConocoPhillips and P66 are now separate companies
marathon,mpc|marathon petroleum|mro|marathon oil,marathonpetroleum.com|marathonoil.com,85,medium,energy,Two separate Marathon companies; medium complexity
valero,vlo|valero energy,valero.com,85,low,energy,Distinctive US refiner brand
phillips 66,psx|phillips66,phillips66.com,85,low,energy,Distinctive US downstream energy brand
enbridge,enb|enbridge inc,enbridge.com,85,low,energy,Distinctive Canadian pipeline brand
kinder morgan,kmi,kindermorgan.com,85,low,energy,Distinctive pipeline brand
duke energy,duk,duke-energy.com,85,medium,energy,Common English word; major US utility
nextera energy,nee|florida power & light|fpl,nexteraenergy.com|fpl.com,85,low,energy,Distinctive renewable energy brand
national grid,national grid plc,nationalgrid.com,70,high,energy,Common phrase; UK/US utility
iberdrola,iber,iberdrola.com,85,low,energy,Distinctive Spanish utility brand
enel,enel spa,enel.com,85,low,energy,Distinctive Italian utility brand
engie,engie sa|gdf suez,engie.com,85,low,energy,Distinctive French energy brand; rebranded from GDF Suez
edf,electricite de france|edf energy,edf.com|edfenergy.com,85,medium,energy,3-char acronym; French state utility
e.on,eon|e.on se,eon.com,85,medium,energy,German utility; E.ON vs EON spelling varies
rwe,rwe ag,rwe.com,85,medium,energy,3-char acronym; German utility
veolia,veolia environment|veolia water,veolia.com,85,low,energy,Distinctive French environmental services brand
waste management,wm|wm inc,wm.com,85,medium,energy,Common English phrase; US waste services
coca cola,ko|coke|coca-cola company,coca-cola.com|coke.com,85,medium,food,Coke is global brand; complex bottler/franchise network
pepsico,pep|pepsi|frito lay|quaker,pepsico.com|pepsi.com|fritolay.com|quaker.com,85,medium,food,Large beverage/food conglomerate
nestle,nsrgy|nestle sa,nestle.com,85,medium,food,Large food conglomerate; many sub-brands
unilever,ul|dove|knorr,unilever.com,85,medium,food,Large CPG conglomerate; many consumer sub-brands
procter & gamble,p&g|pg|pampers|tide|gillette,pg.com|pampers.com|tide.com,85,low,food,P&G is universally recognized; distinctive despite common words
mondelez,mdlz|nabisco|cadbury|oreo,mondelezinternational.com|nabisco.com,85,medium,food,Spun from Kraft 2012; Cadbury/Oreo are sub-brands
kraft heinz,khc|kraft|heinz,kraftheinzcompany.com|heinz.com,85,medium,food,Merged 2015; distinctive brands
general mills,gis|cheerios|pillsbury|betty crocker,generalmills.com,85,medium,food,Common phrase; large CPG brand
kellogg,kellanova|kellogg company,kellogg.com|kellanova.com,85,medium,food,Rebranded WK Kellogg/Kellanova 2023; complex split
mars,mars inc|m&ms|snickers|wrigley,mars.com,70,high,food,Common word; private company; many unrelated businesses with Mars name
danone,dan|danone sa|activia|evian,danone.com|activia.com|evian.com,85,medium,food,French food/beverage brand; complex portfolio
tyson foods,tsn|tyson|jimmy dean|hillshire farm,tysonfoodsitd.com|tysonfoods.com,85,medium,food,Large meat/protein brand; common surname
cargill,cargill inc,cargill.com,85,low,food,Distinctive private agri/food brand
adm,archer daniels midland|adm milling,adm.com,85,medium,food,3-char acronym; large agri-processing
bunge,bg|bunge limited,bunge.com,85,low,food,Distinctive agri/food brand
jbs,jbs sa|swift|pilgrim's pride,jbs.com.br|swiftbrands.com,85,medium,food,Brazilian meat giant; Swift and Pilgrim's sub-brands
hormel,hrl|hormel foods|spam|jennie-o,hormel.com,85,low,food,Distinctive US food brand
conagra,cag|conagra brands|birds eye|hunt's,conagrabrands.com,85,low,food,Distinctive US CPG brand
hershey,hsy|hershey company,thehersheycompany.com,85,low,food,Distinctive chocolate brand
lindt,lindt & sprungli|lindor,lindt.com|lindtusa.com,85,low,food,Distinctive Swiss chocolate brand
ferrero,ferrero rocher|nutella|tic tac,ferrero.com,85,low,food,Distinctive Italian confectionery brand
red bull,redbull,redbull.com,85,low,food,Distinctive energy drink brand
starbucks,sbux,starbucks.com,85,low,food,Distinctive coffee brand
mcdonald's,mcd|mcdonalds|golden arches,mcdonalds.com,70,high,food,Global franchise; individual operators vary; common brand name
burger king,bk|bkc|restaurant brands,burgerking.com|rbi.com,70,high,food,Franchise chain; BK ambiguous
kfc,yum brands|kentucky fried chicken,kfc.com|yum.com,70,high,food,Franchise chain under Yum! Brands
subway,subway restaurants,subway.com,70,high,food,Largest franchise globally; individual operator risk
domino's,dpz|dominos pizza,dominos.com,70,high,food,Franchise pizza chain
wendy's,wen|the wendy's company,wendys.com,70,high,food,Franchise burger chain
chipotle,cmg|chipotle mexican grill,chipotle.com,85,medium,food,Company-operated; lower franchise risk than peers
tim hortons,tims|restaurant brands,timhortons.com|rbi.com,70,high,food,Canadian franchise chain; RBI parent
popeyes,plki|restaurant brands|popeyes louisiana kitchen,popeyes.com|rbi.com,70,high,food,Franchise chain; RBI parent
dairy queen,dq|international dairy queen,dairyqueen.com,70,high,food,Franchise chain; Berkshire Hathaway owned
dunkin,dnkn|dunkin' donuts|inspire brands,dunkindonuts.com|dunkinbrands.com,70,high,food,Franchise chain under Inspire Brands
walmart,wmt|walmart inc|asda|flipkart,walmart.com|asda.com|flipkart.com,85,medium,retail,Large global retailer; Asda/Flipkart sub-brands
costco,cost|costco wholesale,costco.com,85,low,retail,Distinctive warehouse retailer brand
target,tgt,target.com,70,high,retail,Common English word; many unrelated businesses
kroger,kr|kroger company|fred meyer|smith's|king soopers,kroger.com|fredmeyer.com,85,medium,retail,Large US grocery; many regional banner brands
carrefour,carr|carrefour sa,carrefour.com,85,medium,retail,Large French retailer; many country sub-brands
tesco,tsco|tesco plc,tesco.com,85,medium,retail,Large UK retailer; common-word components
aldi,aldi nord|aldi sud,aldi.com|aldi.us,85,medium,retail,Private German discount; two separate legal entities
metro,metro inc|metro ag,metro.com,70,high,retail,Very common word; multiple unrelated companies globally
home depot,hd|the home depot,homedepot.com,85,medium,retail,Distinctive US home improvement brand
lowes,low|lowe's companies,lowes.com,85,medium,retail,Common surname; US home improvement brand
ikea,ingvar kamprad|inter ikea,ikea.com,85,low,retail,Distinctive Swedish furniture brand; acronym but globally unique
wayfair,wayfair inc,wayfair.com,85,low,retail,Distinctive online furniture brand
tjx,tj maxx|marshalls|homegoods|sierra,tjx.com|tjmaxx.com|marshalls.com,85,medium,retail,Large off-price retailer; multiple banner brands
nordstrom,jwn,nordstrom.com,85,low,retail,Distinctive US department store
gap,gps|gap inc|banana republic|old navy|athleta,gap.com|bananarepublic.com|oldnavy.com,85,medium,retail,Common English word; multi-banner retailer
zara,inditex,zara.com|inditex.com,85,medium,retail,Distinctive brand; Inditex is parent
inditex,itx|zara|pull&bear|massimo dutti|bershka,inditex.com|zara.com,85,medium,retail,Spanish fast-fashion conglomerate
h&m,hennes & mauritz|h&m group,hm.com,85,medium,retail,Distinctive Swedish fashion brand
uniqlo,fast retailing,uniqlo.com|fastretailing.com,85,low,retail,Distinctive Japanese fashion brand
nike,nke|nike inc|jordan brand|converse,nike.com|jordan.com|converse.com,85,low,retail,Distinctive footwear/apparel brand
adidas,adidas ag|reebok,adidas.com|reebok.com,85,low,retail,Distinctive German sports brand; Reebok divested
puma,puma ag|puma se,puma.com,85,low,retail,Distinctive sportswear brand
under armour,uaa|ua,underarmour.com,85,low,retail,Distinctive US sportswear brand
